,Unnamed: 0,driver,ageDuringRace,points
168,168,KimiRäikkönen,37,12.0
169,169,SebastianVettel,29,25.0
170,170,DaniilKvyat,22,2.0
171,171,CarlosSainz,22,4.0
172,172,DanielRicciardo,27,0.0
173,173,MaxVerstappen,19,10.0
174,174,SergioPérez,27,6.0
175,175,EstebanOcon,20,1.0
176,176,RomainGrosjean,30,0.0
177,177,KevinMagnussen,24,0.0
178,178,FernandoAlonso,36,10.0
179,179,StoffelVandoorne,26,2.0
180,180,LewisHamilton,33,18.0
181,181,ValtteriBottas,28,4.0
182,182,LanceStroll,19,0.0
183,183,SergeySirotkin,22,0.0
184,184,MarcusEricsson,27,0.0
185,185,CharlesLeclerc,20,0.0
186,186,NicoHülkenberg,30,6.0
187,187,CarlosSainz,23,1.0
188,188,KimiRäikkönen,38,15.0
189,189,SebastianVettel,30,25.0
190,190,PierreGasly,22,0.0
191,191,BrendonHartley,28,0.0
192,192,DanielRicciardo,28,12.0
193,193,MaxVerstappen,20,8.0
194,194,SergioPérez,28,0.0
195,195,EstebanOcon,21,0.0
196,196,RomainGrosjean,31,0.0
197,197,KevinMagnussen,25,0.0
198,198,KimiRäikkönen,26,8.0
199,199,JuanPablo Montoya,30,0.0
200,200,NickHeidfeld,28,5.0
201,201,JacquesVilleneuve,34,3.0
202,202,NicoRosberg,20,0.0
203,203,MarkWebber,29,0.0
204,204,FernandoAlonso,24,10.0
205,205,GiancarloFisichella,33,4.0
206,206,FelipeMassa,24,0.0
207,207,MichaelSchumacher,37,0.0
208,208,VitantonioLiuzzi,25,0.0
209,209,ScottSpeed,23,0.0
210,210,JarnoTrulli,31,0.0
211,211,RalfSchumacher,30,6.0
212,212,TakumaSato,29,0.0
213,213,YujiIde,31,0.0
214,214,DavidCoulthard,34,1.0
215,215,ChristianKlien,23,0.0
216,216,JensonButton,26,0.0
217,217,RubensBarrichello,33,2.0
218,218,ChristijanAlbers,26,0.0
219,219,TiagoMonteiro,29,0.0
220,220,KimiRäikkönen,23,6.0
221,221,DavidCoulthard,32,10.0
222,222,RalfSchumacher,28,1.0
223,223,JuanPablo Montoya,27,8.0
224,224,GiancarloFisichella,30,0.0
225,225,RalphFirman,28,0.0
226,226,NickHeidfeld,26,0.0
227,227,Heinz-HaraldFrentzen,36,3.0
228,228,FernandoAlonso,22,2.0
229,229,JarnoTrulli,29,4.0
230,230,JosVerstappen,31,0.0
231,231,JustinWilson,25,0.0
232,232,RubensBarrichello,31,0.0
233,233,MichaelSchumacher,34,5.0
234,234,Cristianoda Matta,29,0.0
235,235,OlivierPanis,37,0.0
236,236,JensonButton,23,0.0
237,237,JacquesVilleneuve,32,0.0
238,238,MarkWebber,27,0.0
239,239,AntônioPizzonia,22,0.0
240,240,KimiRäikkönen,24,0.0
241,241,DavidCoulthard,33,1.0
242,242,RalfSchumacher,29,5.0
243,243,JuanPablo Montoya,28,4.0
244,244,NickHeidfeld,27,0.0
245,245,GiorgioPantano,25,0.0
246,246,FelipeMassa,23,0.0
247,247,GiancarloFisichella,31,0.0
248,248,FernandoAlonso,22,6.0
249,249,JarnoTrulli,29,2.0
250,250,GianmariaBruni,23,0.0
251,251,ZsoltBaumgartner,23,0.0
252,252,RubensBarrichello,32,8.0
253,253,MichaelSchumacher,35,10.0
254,254,Cristianoda Matta,30,0.0
255,255,OlivierPanis,37,0.0
256,256,TakumaSato,27,0.0
257,257,JensonButton,24,3.0
258,258,MarkWebber,27,0.0
259,259,ChristianKlien,21,0.0
260,260,KimiRäikkönen,25,1.0
261,261,JuanPablo Montoya,29,3.0
262,262,NickHeidfeld,28,0.0
263,263,MarkWebber,28,4.0
264,264,TiagoMonteiro,28,0.0
265,265,NarainKarthikeyan,28,0.0
266,266,FelipeMassa,24,0.0
267,267,JacquesVilleneuve,34,0.0
268,268,FernandoAlonso,23,6.0
269,269,GiancarloFisichella,32,10.0
270,270,ChristijanAlbers,26,0.0
271,271,PatrickFriesacher,24,0.0
272,272,RubensBarrichello,33,8.0
273,273,MichaelSchumacher,36,0.0
274,274,JarnoTrulli,30,0.0
275,275,RalfSchumacher,29,0.0
276,276,TakumaSato,28,0.0
277,277,JensonButton,25,0.0
278,278,DavidCoulthard,34,5.0
279,279,ChristianKlien,22,2.0
280,280,DavidCoulthard,29,0.0
281,281,MikaHäkkinen,32,0.0
282,282,JensonButton,20,0.0
283,283,RalfSchumacher,25,4.0
284,284,JarnoTrulli,26,0.0
285,285,Heinz-HaraldFrentzen,33,0.0
286,286,MikaSalo,34,0.0
287,287,PedroDiniz,30,0.0
288,288,NickHeidfeld,23,0.0
289,289,JeanAlesi,36,0.0
290,290,MarcGené,26,0.0
291,291,GastónMazzacane,25,0.0
292,292,RubensBarrichello,28,6.0
293,293,MichaelSchumacher,31,10.0
294,294,JacquesVilleneuve,29,3.0
295,295,RicardoZonta,24,1.0
296,296,EddieIrvine,35,0.0
297,297,JohnnyHerbert,36,0.0
298,298,GiancarloFisichella,27,2.0
299,299,AlexanderWurz,26,0.0
300,300,Pedrode la Rosa,29,0.0
301,301,JosVerstappen,28,0.0
302,302,DavidCoulthard,28,0.0
303,303,MikaHäkkinen,30,0.0
304,304,RalfSchumacher,24,4.0
305,305,AlessandroZanardi,32,0.0
306,306,Heinz-HaraldFrentzen,32,6.0
307,307,DamonHill,38,0.0
308,308,JeanAlesi,35,0.0
309,309,PedroDiniz,29,0.0
310,310,JarnoTrulli,24,0.0
311,311,OlivierPanis,32,0.0
312,312,MarcGené,25,0.0
313,313,LucaBadoer,28,0.0
314,314,MichaelSchumacher,30,0.0
315,315,EddieIrvine,33,10.0
316,316,JacquesVilleneuve,28,0.0
317,317,RicardoZonta,23,0.0
318,318,GiancarloFisichella,26,3.0
319,319,AlexanderWurz,25,0.0
320,320,RubensBarrichello,27,2.0
321,321,JohnnyHerbert,35,0.0
322,322,Pedrode la Rosa,28,1.0
323,323,ToranosukeTakagi,25,0.0
324,324,DavidCoulthard,27,6.0
325,325,MikaHäkkinen,29,10.0
326,326,JacquesVilleneuve,27,2.0
327,327,Heinz-HaraldFrentzen,31,4.0
328,328,RalfSchumacher,23,0.0
329,329,DamonHill,37,0.0
330,330,JeanAlesi,34,0.0
331,331,JohnnyHerbert,34,1.0
332,332,JarnoTrulli,24,0.0
333,333,OlivierPanis,31,0.0
334,334,EstebanTuero,20,0.0
335,335,ShinjiNakano,27,0.0
336,336,MichaelSchumacher,29,0.0
337,337,EddieIrvine,32,3.0
338,338,GiancarloFisichella,25,0.0
339,339,AlexanderWurz,24,0.0
340,340,RubensBarrichello,26,0.0
341,341,JanMagnussen,25,0.0
342,342,MikaSalo,31,0.0
343,343,PedroDiniz,28,0.0
344,344,ToranosukeTakagi,24,0.0
345,345,RicardoRosset,30,0.0
346,346,DavidCoulthard,26,10.0
347,347,MikaHäkkinen,28,4.0
348,348,JacquesVilleneuve,26,0.0
349,349,Heinz-HaraldFrentzen,30,0.0
350,350,GiancarloFisichella,24,0.0
351,351,RalfSchumacher,22,0.0
352,352,JohnnyHerbert,33,0.0
353,353,NicolaLarini,33,1.0
354,354,OlivierPanis,31,2.0
355,355,ShinjiNakano,26,0.0
356,356,JarnoTrulli,23,0.0
357,357,UkyoKatayama,34,0.0
358,358,MichaelSchumacher,28,6.0
359,359,EddieIrvine,31,0.0
360,360,JeanAlesi,33,0.0
361,361,GerhardBerger,38,3.0
362,362,RubensBarrichello,25,0.0
363,363,JanMagnussen,24,0.0
364,364,PedroDiniz,27,0.0
365,365,DamonHill,36,0.0
366,366,JosVerstappen,25,0.0
367,367,MikaSalo,30,0.0
368,368,DavidCoulthard,25,0.0
369,369,MikaHäkkinen,28,2.0
370,370,JacquesVilleneuve,25,6.0
371,371,DamonHill,36,10.0
372,372,RubensBarrichello,24,0.0
373,373,MartinBrundle,37,0.0
374,374,Heinz-HaraldFrentzen,29,0.0
375,375,JohnnyHerbert,32,0.0
376,376,GiancarloFisichella,23,0.0
377,377,PedroLamy,24,0.0
378,378,MichaelSchumacher,27,0.0
379,379,EddieIrvine,30,4.0
380,380,JeanAlesi,32,0.0
381,381,GerhardBerger,37,3.0
382,382,OlivierPanis,30,0.0
383,383,PedroDiniz,26,0.0
384,384,MikaSalo,29,1.0
385,385,UkyoKatayama,33,0.0
386,386,JosVerstappen,24,0.0
387,387,RicardoRosset,28,0.0
388,388,JensonButton,33,2.0
389,389,SergioPérez,23,0.0
390,390,LewisHamilton,28,10.0
391,391,NicoRosberg,27,0.0
392,392,PastorMaldonado,28,0.0
393,393,ValtteriBottas,23,0.0
394,394,NicoHülkenberg,25,0.0
395,395,EstebanGutiérrez,21,0.0
396,396,FernandoAlonso,31,18.0
397,397,FelipeMassa,31,12.0
398,398,CharlesPic,23,0.0
399,399,Giedovan der Garde,27,0.0
400,400,KimiRäikkönen,33,25.0
401,401,RomainGrosjean,26,1.0
402,402,DanielRicciardo,23,0.0
403,403,Jean-ÉricVergne,22,0.0
404,404,MaxChilton,21,0.0
405,405,JulesBianchi,23,0.0
406,406,MarkWebber,36,8.0
407,407,SebastianVettel,25,15.0
408,408,AdrianSutil,30,6.0
409,409,Pauldi Resta,26,4.0
410,410,JensonButton,34,15.0
411,411,KevinMagnussen,21,18.0
412,412,LewisHamilton,29,0.0
413,413,NicoRosberg,28,25.0
414,414,FelipeMassa,32,0.0
415,415,ValtteriBottas,24,10.0
416,416,AdrianSutil,31,0.0
417,417,EstebanGutiérrez,22,0.0
418,418,FernandoAlonso,32,12.0
419,419,KimiRäikkönen,34,6.0
420,420,KamuiKobayashi,27,0.0
421,421,MarcusEricsson,23,0.0
422,422,RomainGrosjean,27,0.0
423,423,PastorMaldonado,29,0.0
424,424,Jean-ÉricVergne,23,4.0
425,425,DaniilKvyat,19,2.0
426,426,MaxChilton,22,0.0
427,427,JulesBianchi,24,0.0
428,428,SebastianVettel,26,0.0
429,429,DanielRicciardo,24,0.0
430,430,NicoHülkenberg,26,8.0
431,431,SergioPérez,24,1.0
432,432,JensonButton,35,0.0
433,433,KevinMagnussen,22,0.0
434,434,LewisHamilton,30,25.0
435,435,NicoRosberg,29,18.0
436,436,FelipeMassa,33,12.0
437,437,ValtteriBottas,25,0.0
438,438,MarcusEricsson,24,4.0
439,439,FelipeNasr,22,10.0
440,440,KimiRäikkönen,35,0.0
441,441,SebastianVettel,27,15.0
442,442,RomainGrosjean,28,0.0
443,443,PastorMaldonado,30,0.0
444,444,MaxVerstappen,17,0.0
445,445,CarlosSainz,20,2.0
446,446,DanielRicciardo,25,8.0
447,447,DaniilKvyat,20,0.0
448,448,NicoHülkenberg,27,6.0
449,449,SergioPérez,25,1.0
450,450,CarlosSainz,24,0.0
451,451,LandoNorris,19,0.0
452,452,LewisHamilton,34,18.0
453,453,ValtteriBottas,29,26.0
454,454,RobertKubica,34,0.0
455,455,GeorgeRussell,21,0.0
456,456,NicoHülkenberg,31,6.0
457,457,DanielRicciardo,29,0.0
458,458,SebastianVettel,31,12.0
459,459,CharlesLeclerc,21,10.0
